match_id,game_datetime,game_length,game_variation,game_version,tft_set_number
BR1_1932275418,2020-05-01 07:04:28,2094.182373046875,TFT3_GameVariation_MidGameFoN,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931343792,2020-04-30 14:29:46,2158.12646484375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932089713,2020-05-01 03:05:40,2441.195556640625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1921066884,2020-04-21 01:37:33,2504.7138671875,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929633675,2020-04-29 00:18:01,2249.793701171875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931196065,2020-04-30 05:11:01,2066.1689453125,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927225252,2020-04-26 19:20:11,2114.29541015625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1914792425,2020-04-15 15:44:02,2293.56640625,TFT3_GameVariation_BigLittleLegends,Version 10.8.316.7615 (Apr 09 2020/17:53:11) [PUBLIC] <Releases/10.8>,3
BR1_1931563673,2020-04-30 20:19:18,2308.062255859375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928076782,2020-04-27 16:45:34,2379.8525390625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932003248,2020-05-01 01:12:15,2033.4322509765625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929529515,2020-04-28 22:43:04,2264.7822265625,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929482960,2020-04-28 21:43:55,2240.5224609375,TFT3_GameVariation_FourCostFirstCarousel,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
